Date,Day,HighTemp,LowTemp ,Precipitation,WilliamsburgBridge,Total
4/1,Saturday,46.0,37,0.00,"1,915","5,397"
4/2,Sunday,62.1,41,0.00,"4,207","13,033"
4/3,Monday,63.0,50,0.03,"5,178","16,325"
4/4,Tuesday,51.1,46,1.18,"2,279","6,581"
4/5,Wednesday,63.0,46,0.00,"5,711","17,991"
4/6,Thursday,48.9,41,0.73,"1,739","4,896"
4/7,Friday,48.0,43,0.21,"3,399","10,341"
4/8,Saturday,55.9,39.9,0.00,"4,082","11,610"
4/9,Sunday,66.0,45,0.00,"4,886","14,899"
4/10,Monday,73.9,55,0.00,"6,881","21,295"
4/11,Tuesday,80.1,62.1,0.00,"8,079","24,714"
4/12,Wednesday,73.9,57.9,0.02,"6,620","19,355"
4/13,Thursday,64.0,48.9,0.00,"6,775","20,880"
4/14,Friday,64.9,48.9,0.00,"5,877","18,015"
4/15,Saturday,64.9,52,0.00,"4,965","14,362"
4/16,Sunday,84.9,62.1,0.00,"5,259","16,408"
4/17,Monday,73.9,64,0.00,"6,924","21,086"
4/18,Tuesday,66.0,50,0.00,"7,341","22,459"
4/19,Wednesday,52.0,45,0.02,"5,234","15,827"
4/20,Thursday,64.9,50,0.17,"4,302","12,290"
4/21,Friday,53.1,48,0.29,"3,674","10,914"
4/22,Saturday,55.9,52,0.11,"2,963","8,944"
4/23,Sunday,64.9,46.9,0.00,"5,105","15,740"
4/24,Monday,60.1,50,0.00,"5,762","17,855"
4/25,Tuesday,54.0,50,0.91,"1,902","5,493"
4/26,Wednesday,59.0,54,0.34,"3,429","9,819"
4/27,Thursday,68.0,59,0.00,"6,026","18,581"
4/28,Friday,82.9,57.9,0.00,"7,196","22,787"
4/29,Saturday,84.0,64,0.06,"6,045","19,043"
4/30,Sunday,64.0,54,0.00,"4,513","13,932"
